,raw_text_src,raw_text,stance_label,spacy_processed_text,spacy_processed_text_src,avg_lev_dist
0,Donald Trump,@realDonaldTrump you're not playing to win this = #SemST,2,$MENTION$ you 're not playing to win this = # SemST [EOS],Donald Trump [EOS],81.5625
1,Hillary Clinton,@OrlandoKate @CauseWereGuys they hate us cause they anus. #SemST,2,"$MENTION$ $MENTION$ they hate us cause they anus . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],81.6375
2,Donald Trump,@CTDems he's better than the dems. #SemST,2,"$MENTION$ he 's better than the dems . [EOS]
# SemST [EOS]",Donald Trump [EOS],81.8125
3,Hillary Clinton,@DRUDGE_REPORT We haven't even had the elections yet. #SemST,2,"$MENTION$ We have not even had the elections yet . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],81.975
4,Hillary Clinton,"@maddow I love Bern, but it's not his time! #SemST",2,"$MENTION$ I love Bern , but it 's not his time ! [EOS]
# SemST [EOS]",Hillary Clinton [EOS],81.9875
5,Feminist Movement,@heypaparoms it aint rape if the guy is the victim #SemST,2,$MENTION$ it ai nt rape if the guy is the victim # SemST [EOS],Feminist Movement [EOS],82.0
6,Donald Trump,@realDonaldTrump I feel the train is gaining steam.  #SemST,2,"$MENTION$ I feel the train is gaining steam . [EOS]
# SemST [EOS]",Donald Trump [EOS],82.0875
7,Legalization of Abortion,@EmKachman hi c: what are your thoughts on this? #SemST,2,"$MENTION$ hi c : what are your thoughts on this ? [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],82.175
8,Hillary Clinton,@BDabs888 let's go shoot your now today. #SemST,2,"$MENTION$ let 's go shoot your now today . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.225
9,Donald Trump,@nytimes Does he go to the Dog groomer ? #SemST,2,"$MENTION$ Does he go to the Dog groomer ? [EOS]
# SemST [EOS]",Donald Trump [EOS],82.2375
10,Feminist Movement,"@StarSThomas Dear god, you are fat. #SemST",2,"$MENTION$ Dear god , you are fat . [EOS]
# SemST [EOS]",Feminist Movement [EOS],82.3875
11,Donald Trump,@kupajo33 @ChrisChristie we don't need him! #SemST,2,"$MENTION$ $MENTION$ we do not need him ! [EOS]
# SemST [EOS]",Donald Trump [EOS],82.525
12,Hillary Clinton,@HillaryClinton machine in motion this Monday.  #SemST,2,"$MENTION$ machine in motion this Monday . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.525
13,Hillary Clinton,@occupycorruptDC she ain't no ways tired of being a dumbass #SemST,2,$MENTION$ she ai not no ways tired of being a dumbass # SemST [EOS],Hillary Clinton [EOS],82.5875
14,Hillary Clinton,@HillaryClinton @ca_hillary stand on the right side #SemST,2,$MENTION$ $MENTION$ stand on the right side # SemST [EOS],Hillary Clinton [EOS],82.5875
15,Donald Trump,@PatDollard She is right on the money!!!!!  #SemST,2,"$MENTION$ She is right on the money ! ! ! ! ! [EOS]
# SemST [EOS]",Donald Trump [EOS],82.6
16,Hillary Clinton,@WNTonight i love bernie because he ain't #SemST,2,$MENTION$ i love bernie because he ai not # SemST [EOS],Hillary Clinton [EOS],82.6125
17,Hillary Clinton,"@theblaze gee,  what a busy schedule she had. #SemST",2,"$MENTION$ gee , what a busy schedule she had . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.6375
18,Hillary Clinton,"@VRWCTexan WOW, she's one to talk #SemST",2,"$MENTION$ [EOS]
WOW , she 's one to talk # SemST [EOS]",Hillary Clinton [EOS],82.6375
19,Feminist Movement,@suicidaljac3 eat a pus or somethin lozer #SemST,2,$MENTION$ eat a pus or somethin lozer # SemST [EOS],Feminist Movement [EOS],82.675
20,Donald Trump,"@KarenMonsour12 Thanks Karen, love this idea! #SemST",2,"$MENTION$ Thanks Karen , love this idea ! [EOS]
# SemST [EOS]",Donald Trump [EOS],82.6875
21,Feminist Movement,@FeminismIsLies this needs to fucking stop. #SemST,2,"$MENTION$ this needs to fucking stop . [EOS]
# SemST [EOS]",Feminist Movement [EOS],82.7
22,Hillary Clinton,@TeaPartyOrg let's ask Vince Foster about trust. #SemST,2,"$MENTION$ let 's ask Vince Foster about trust . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.7125
23,Hillary Clinton,@boxfot shut up you crusty old man. #SemST,2,"$MENTION$ shut up you crusty old man . [EOS]
# SemST [EOS]",Hillary Clinton [EOS],82.725
24,Legalization of Abortion,"@charlescwcooke @HillaryClinton Once they're born, that is. #SemST",2,"$MENTION$ $MENTION$ [EOS]
Once they 're born , that is . [EOS]
# SemST [EOS]",Legalization of Abortion [EOS],82.7375
25,Hillary Clinton,@LindaSuhler and the sheeple will still vote for her #SemST,2,$MENTION$ and the sheeple will still vote for her # SemST [EOS],Hillary Clinton [EOS],82.7625
26,Donald Trump,"@realDonaldTrump not for long, if you get elected! #SemST",2,"$MENTION$ not for long , if you get elected ! [EOS]
# SemST [EOS]",Donald Trump [EOS],82.8
